provincia,departamento,nombre,tematica_principal,tipo_de_gestion,mes_de_realizacion,duracion_dias,cantidad_aprox_de_asistentes,tipo_entrada,ultimo_ano_de_realizacion,mes_num
Buenos Aires,San Vicente,Día Nacional del Payador,Tradicionales,Público,Julio,3,1000,Gratuita,2022,7.0
Buenos Aires,Lujan,Festival del Pan Dulce en Luján,Gastronómica,Público,Diciembre,3,2000,Gratuita,2022,12.0
Buenos Aires,Coronel Pringles,Pringles Cine Fest ,Artística,Público,Noviembre,3,250,Gratuita,2022,11.0
Buenos Aires,General Alvarado,Fiesta del Kiwi: Mar y Sierras,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Bragado,Suena Rock,Artística,,Febrero,3,3000,Gratuita,2023,2.0
Buenos Aires,La Plata,Carnaval Disidente,Expresiones del carnaval,Privado,Febrero,3,300,Gratuita,2023,2.0
Buenos Aires,General Pinto,FESTIVAL DE INVIERNO,Artística,Público,Julio,3,6000,Gratuita,2022,7.0
Buenos Aires,Mercedes,"Festival de Tango ""Rafael Rossi",Artística,Público,Marzo,3,7000,Gratuita,2023,3.0
Buenos Aires,Lomas de Zamora,Festival Cultura del Sur,Artística,Privado,Noviembre,3,529,Paga,2022,11.0
Buenos Aires,Moreno,FESTIVAL URBANO MORENO,Artística,Público,Octubre,3,50000,Gratuita,2022,10.0
Buenos Aires,San Nicolas,FESTIVAL RICO,Gastronómica,Público,Octubre,3,45000,Gratuita,2022,10.0
Buenos Aires,Lomas de Zamora,FESTIVAL LATINOAMERICANO DE ACTIVIDADES ESCÉNICAS CON TEMÁTICAS DE GÉNERO,,Privado,Noviembre,3,11556,,2021,
Buenos Aires,Quilmes,FESTIVAL ENTRE ARROYOS,,Privado,Noviembre,3,11556,,2021,
Buenos Aires,Moreno,Carnavales 2023,Artística,,Enero,3,60000,Gratuita,2023,1.0
Buenos Aires,La Plata,Fiesta de Carnaval en la Plaza del Barrio,Expresiones del carnaval,Privado,Febrero,3,400,Gratuita,2023,2.0
Buenos Aires,Vicente Lopez,FESTIVAL DE IMPROVISACION MUSICAL CON SEÑAS,Artística,Privado,Noviembre,3,400,Gratuita,2022,11.0
Buenos Aires,Lincoln,Encuentro de Danzas folclóricas argentinas y Latinoamericanas,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Ensenada,Festival Internacional de Cine de Ensenada,Artística,Público,Septiembre,3,1500,Gratuita,2022,9.0
Buenos Aires,La Plata,Carnaval del Colibri,Expresiones del carnaval,Privado,Febrero,3,500,Gratuita,2023,2.0
Buenos Aires,Pilar,Carnaval Municpal de Pilar,Expresiones del carnaval,Privado,Febrero,3,11556,Gratuita,2023,2.0
Buenos Aires,General Pueyrredon,¡QUE ARDA! Festival Feminista,Otra,,Marzo,3,300,Gratuita,2023,3.0
Buenos Aires,Lujan,Carnaval en Luján,Expresiones del carnaval,Privado,Febrero,3,11556,Gratuita,2023,2.0
Buenos Aires,Tandil,Carnaval Barrial Villa Gaucho,Expresiones del carnaval,Privado,Marzo,3,11556,Gratuita,2023,3.0
Buenos Aires,Merlo,Festival Internacional de Jazz de Merlo,Artística,,Mayo,3,6000,Gratuita,2023,5.0
