cod_prov;cod_dep;cod_loc;Categoria;Provincia ;Departamento;Localidad/Paraje;Nombre;Latitud;Longitud;Nota;Fuente;Temática_principal;Temática_secundaria;Aniversario;Tipo de gestion;Tipo de gestión privado;Periodicidad;Año_primera_edicion;Ediciones;Mes de realización;Semana de realizacion;Duracion (días);Cantidad aprox de asistentes;Tipo_Entrada;Modalidad;último año de realizacion
6;6778;6778020;Fiesta y/o festival;Buenos Aires;San Vicente;San Vicente;Día Nacional del Payador;-3502403944;-5842059144;Centroide;Festivales Argentinos 2022;Tradicionales;s/d;No;Público;s/d;s/d;s/d;0;Julio;4;s/d;1000;Gratuita;s/d;2022
6;6497;6497060;Fiesta y/o festival;Buenos Aires;Lujan;Lujan;Festival del Pan Dulce en Luján;-3457065507;-5910954018;Centroide;Festivales Argentinos 2022;Gastronómica;s/d;No;Público;s/d;s/d;s/d;1;Diciembre;3;s/d;2000;Gratuita;s/d;2022
6;6196;6196010;Fiesta y/o festival;Buenos Aires;Coronel Pringles;Coronel Pringles;Pringles Cine Fest ;-3798652106;-6135407157;Centroide;Festivales Argentinos 2022;Artística;s/d;No;Público;s/d;s/d;s/d;1;Noviembre;2;s/d;250;Gratuita;s/d;2022
6;6280;6280040;Fiesta y/o festival;Buenos Aires;General Alvarado;Miramar;Fiesta del Kiwi: Mar y Sierras;-3827074293;-5784047146;Centroide;RECREO - Gob. de la prov. de Buenos Aires};Productiva;s/d;No;s/d;s/d;s/d;s/d;1;s/d;s/d;s/d;s/d;s/d;s/d;2022
6;6112;6112010;Fiesta y/o festival;Buenos Aires;Bragado;Bragado;Suena Rock;-3511894230;-6048791476;Centroide;Festivales Argentinos 2023;Artística;s/d;No;s/d;s/d;s/d;s/d;2;Febrero;3;s/d;3000;Gratuita;s/d;2023
6;6441;6441030;Carnaval;Buenos Aires;La Plata;La Plata;Carnaval Disidente;-3492206666;-5795439165;Centroide;Carnavales Argentinos;Expresiones del carnaval;s/d;No;Privado;s/d;s/d;s/d;2;Febrero;3;s/d;300;Gratuita;s/d;2023
6;6351;6351020;Fiesta y/o festival;Buenos Aires;General Pinto;General Pinto;FESTIVAL DE INVIERNO;-3476415599;-6189006749;Centroide;Festivales Argentinos 2022;Artística;s/d;No;Público;s/d;s/d;s/d;2;Julio;3;s/d;6000;Gratuita;s/d;2022
6;6532;6532020;Fiesta y/o festival;Buenos Aires;Mercedes;Mercedes;"Festival de Tango ""Rafael Rossi";-3465217154;-5942959817;Centroide;Festivales Argentinos 2021;Artística;s/d;No;Público;s/d;s/d;s/d;2;Marzo;3;s/d;7000;Gratuita;s/d;2023
6;6490;6490010;Fiesta y/o festival;Buenos Aires;Lomas de Zamora;Lomas de Zamora;Festival Cultura del Sur;-3476116024;-5839876606;Centroide;Festivales Argentinos 2022;Artística;s/d;No;Privado;s/d;s/d;2008;2;Noviembre;4;s/d;529;Paga;s/d;2022
6;6560;6560010;Fiesta y/o festival;Buenos Aires;Moreno;Moreno;FESTIVAL URBANO MORENO;-3464845620;-5878703763;Centroide;Festivales Argentinos 2022;Artística;s/d;No;Público;s/d;s/d;s/d;2;Octubre;1;s/d;50000;Gratuita;s/d;2022
